Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CP10A_scaffolds.fasta_PROKKA_09032023,CP12E_scaffolds.fasta_PROKKA_09032023,CP13A_scaffolds.fasta_PROKKA_09032023,CP15C_scaffolds.fasta_PROKKA_09032023,CP17D_scaffolds.fasta_PROKKA_09032023,CP19F2_scaffolds.fasta_PROKKA_09032023,CP20G1_scaffolds.fasta_PROKKA_09032023,CP2A_scaffolds.fasta_PROKKA_09032023,CP3F2_scaffolds.fasta_PROKKA_09032023,CP5A_scaffolds.fasta_PROKKA_09032023
group_3316,,hypothetical protein,10,10,1.0,9,22,,,,618,618,618.0,JPLAHNLF_05580,JAGMMPDK_05547,EONIFOAI_06000,BJIDENJG_06088,HGPKINJB_06080,IJMDIMPO_05586,CJGAGBCL_05598,OLBBELCE_05879,DHHEPMPN_00880,IHHDMFPH_05780
sttH_2~~~sttH_3,sttH_2;sttH_3,Streptothricin hydrolase,10,10,1.0,9,21,,,,528,528,528.0,JPLAHNLF_05576,JAGMMPDK_05543,EONIFOAI_06009,BJIDENJG_06079,HGPKINJB_06071,IJMDIMPO_05590,CJGAGBCL_05594,OLBBELCE_05883,DHHEPMPN_00884,IHHDMFPH_05784
nanR_3,nanR_3,HTH-type transcriptional repressor NanR,10,10,1.0,9,20,,,,702,702,702.0,JPLAHNLF_05569,JAGMMPDK_05536,EONIFOAI_06016,BJIDENJG_06072,HGPKINJB_06064,IJMDIMPO_05597,CJGAGBCL_05587,OLBBELCE_05890,DHHEPMPN_00891,IHHDMFPH_05791
group_3315,,hypothetical protein,10,10,1.0,9,19,,,,354,354,354.0,JPLAHNLF_05565,JAGMMPDK_05532,EONIFOAI_06020,BJIDENJG_06068,HGPKINJB_06060,IJMDIMPO_05601,CJGAGBCL_05583,OLBBELCE_05917,DHHEPMPN_00895,IHHDMFPH_05823
fabG_7,fabG_7,3-oxoacyl-[acyl-carrier-protein] reductase FabG,10,10,1.0,9,18,,,,768,768,768.0,JPLAHNLF_05572,JAGMMPDK_05539,EONIFOAI_06013,BJIDENJG_06075,HGPKINJB_06067,IJMDIMPO_05594,CJGAGBCL_05590,OLBBELCE_05887,DHHEPMPN_00888,IHHDMFPH_05788
group_3313,,hypothetical protein,10,10,1.0,9,16,,,,1740,1740,1740.0,JPLAHNLF_05560,JAGMMPDK_05527,EONIFOAI_06025,BJIDENJG_06063,HGPKINJB_06055,IJMDIMPO_05606,CJGAGBCL_05578,OLBBELCE_05922,DHHEPMPN_00900,IHHDMFPH_05818
group_3312,,hypothetical protein,10,10,1.0,9,15,,,,1089,1089,1089.0,JPLAHNLF_05561,JAGMMPDK_05528,EONIFOAI_06024,BJIDENJG_06064,HGPKINJB_06056,IJMDIMPO_05605,CJGAGBCL_05579,OLBBELCE_05921,DHHEPMPN_00899,IHHDMFPH_05819
group_3311,,hypothetical protein,10,10,1.0,9,14,,,,471,471,471.0,JPLAHNLF_05583,JAGMMPDK_05550,EONIFOAI_05997,BJIDENJG_06091,HGPKINJB_06083,IJMDIMPO_05583,CJGAGBCL_05601,OLBBELCE_05876,DHHEPMPN_00877,IHHDMFPH_05777
group_3310,,hypothetical protein,10,10,1.0,9,13,,,,1641,1641,1641.0,JPLAHNLF_05559,JAGMMPDK_05526,EONIFOAI_06026,BJIDENJG_06062,HGPKINJB_06054,IJMDIMPO_05607,CJGAGBCL_05577,OLBBELCE_05923,DHHEPMPN_00901,IHHDMFPH_05817
group_3308,,hypothetical protein,10,10,1.0,9,11,,,,756,756,756.0,JPLAHNLF_05568,JAGMMPDK_05535,EONIFOAI_06017,BJIDENJG_06071,HGPKINJB_06063,IJMDIMPO_05598,CJGAGBCL_05586,OLBBELCE_05891,DHHEPMPN_00892,IHHDMFPH_05792
gdhB,gdhB,NAD-specific glutamate dehydrogenase,10,10,1.0,9,10,,,,4869,4869,4869.0,JPLAHNLF_05566,JAGMMPDK_05533,EONIFOAI_06019,BJIDENJG_06069,HGPKINJB_06061,IJMDIMPO_05600,CJGAGBCL_05584,OLBBELCE_05916,DHHEPMPN_00894,IHHDMFPH_05824
tag_2,tag_2,DNA-3-methyladenine glycosylase 1,10,10,1.0,9,9,,,,630,630,630.0,JPLAHNLF_05571,JAGMMPDK_05538,EONIFOAI_06014,BJIDENJG_06074,HGPKINJB_06066,IJMDIMPO_05595,CJGAGBCL_05589,OLBBELCE_05888,DHHEPMPN_00889,IHHDMFPH_05789
group_3307,,hypothetical protein,10,10,1.0,9,8,,,,630,630,630.0,JPLAHNLF_05567,JAGMMPDK_05534,EONIFOAI_06018,BJIDENJG_06070,HGPKINJB_06062,IJMDIMPO_05599,CJGAGBCL_05585,OLBBELCE_05892,DHHEPMPN_00893,IHHDMFPH_05793
group_3306,,putative sulfate transporter,10,10,1.0,9,7,,,,1662,1662,1662.0,JPLAHNLF_05581,JAGMMPDK_05548,EONIFOAI_05999,BJIDENJG_06089,HGPKINJB_06081,IJMDIMPO_05585,CJGAGBCL_05599,OLBBELCE_05878,DHHEPMPN_00879,IHHDMFPH_05779
group_3305,,2-ketogluconate reductase,10,10,1.0,9,6,,,,951,951,951.0,JPLAHNLF_05575,JAGMMPDK_05542,EONIFOAI_06010,BJIDENJG_06078,HGPKINJB_06070,IJMDIMPO_05591,CJGAGBCL_05593,OLBBELCE_05884,DHHEPMPN_00885,IHHDMFPH_05785
group_3303,,hypothetical protein,10,10,1.0,9,4,,,,495,495,495.0,JPLAHNLF_05562,JAGMMPDK_05529,EONIFOAI_06023,BJIDENJG_06065,HGPKINJB_06057,IJMDIMPO_05604,CJGAGBCL_05580,OLBBELCE_05920,DHHEPMPN_00898,IHHDMFPH_05820
group_3302,,hypothetical protein,10,10,1.0,9,3,,,,1068,1068,1068.0,JPLAHNLF_05573,JAGMMPDK_05540,EONIFOAI_06012,BJIDENJG_06076,HGPKINJB_06068,IJMDIMPO_05593,CJGAGBCL_05591,OLBBELCE_05886,DHHEPMPN_00887,IHHDMFPH_05787
group_3301,,hypothetical protein,10,10,1.0,9,2,,,,1857,1857,1857.0,JPLAHNLF_05574,JAGMMPDK_05541,EONIFOAI_06011,BJIDENJG_06077,HGPKINJB_06069,IJMDIMPO_05592,CJGAGBCL_05592,OLBBELCE_05885,DHHEPMPN_00886,IHHDMFPH_05786
dctA_2,dctA_2,Aerobic C4-dicarboxylate transport protein,10,10,1.0,9,1,,,,1311,1311,1311.0,JPLAHNLF_05570,JAGMMPDK_05537,EONIFOAI_06015,BJIDENJG_06073,HGPKINJB_06065,IJMDIMPO_05596,CJGAGBCL_05588,OLBBELCE_05889,DHHEPMPN_00890,IHHDMFPH_05790
prlC,prlC,Oligopeptidase A,10,10,1.0,8,112,,,,2052,2052,2052.0,JPLAHNLF_05324,JAGMMPDK_05247,EONIFOAI_05602,BJIDENJG_05572,HGPKINJB_04553,IJMDIMPO_04649,CJGAGBCL_05191,OLBBELCE_05489,DHHEPMPN_05348,IHHDMFPH_05394
glyS,glyS,Glycine--tRNA ligase beta subunit,10,10,1.0,8,111,,,,2055,2055,2055.0,JPLAHNLF_05286,JAGMMPDK_05285,EONIFOAI_05640,BJIDENJG_05610,HGPKINJB_04515,IJMDIMPO_04611,CJGAGBCL_05153,OLBBELCE_05527,DHHEPMPN_05310,IHHDMFPH_05356
