Gene,Non-unique Gene name,Annotation,628C_scaffolds.fasta_PROKKA_09032023,629A2A_scaffolds.fasta_PROKKA_09032023,630A_scaffolds.fasta_PROKKA_09032023,631B_scaffolds.fasta_PROKKA_09032023,632B_scaffolds.fasta_PROKKA_09032023,633A_scaffolds.fasta_PROKKA_09032023,638A1_scaffolds.fasta_PROKKA_09032023,643E_scaffolds.fasta_PROKKA_09032023,649D1_scaffolds.fasta_PROKKA_09032023
leuB,leuB,3-isopropylmalate dehydrogenase,AGBKPNDM_05644,OPLBPFOJ_05592,CBFJPJAN_04675,PFCICLLP_05645,IBOIIBEG_06134,MFFOPBKH_05518,POFILHDL_05526,DHNKKDKB_05523,PJIANKBB_00011
accD,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,AGBKPNDM_05650,OPLBPFOJ_05586,CBFJPJAN_04669,PFCICLLP_05651,IBOIIBEG_06128,MFFOPBKH_05512,POFILHDL_05520,DHNKKDKB_05517,PJIANKBB_00017
group_3127,,hypothetical protein,AGBKPNDM_05639,OPLBPFOJ_05597,CBFJPJAN_04680,PFCICLLP_05640,IBOIIBEG_06139,MFFOPBKH_05523,POFILHDL_05531,DHNKKDKB_05528,PJIANKBB_00006
nicX,nicX,25-dihydroxypyridine 56-dioxygenase,AGBKPNDM_05596,OPLBPFOJ_05520,CBFJPJAN_05520,PFCICLLP_05558,IBOIIBEG_06224,MFFOPBKH_05418,POFILHDL_05405,DHNKKDKB_05399,PJIANKBB_05497
group_3126,,hypothetical protein,AGBKPNDM_05573,OPLBPFOJ_05497,CBFJPJAN_05497,PFCICLLP_05535,IBOIIBEG_06212,MFFOPBKH_05395,POFILHDL_05382,DHNKKDKB_05422,PJIANKBB_05474
nicF,nicF,Maleamate amidohydrolase,AGBKPNDM_05592,OPLBPFOJ_05516,CBFJPJAN_05516,PFCICLLP_05554,IBOIIBEG_06220,MFFOPBKH_05414,POFILHDL_05401,DHNKKDKB_05403,PJIANKBB_05493
nicB,nicB,Nicotinate dehydrogenase subunit B,AGBKPNDM_05599,OPLBPFOJ_05523,CBFJPJAN_05523,PFCICLLP_05561,IBOIIBEG_06227,MFFOPBKH_05421,POFILHDL_05408,DHNKKDKB_05396,PJIANKBB_05500
azoR_2,azoR_2,FMN-dependent NADH-azoreductase,AGBKPNDM_05575,OPLBPFOJ_05499,CBFJPJAN_05499,PFCICLLP_05537,IBOIIBEG_06214,MFFOPBKH_05397,POFILHDL_05384,DHNKKDKB_05420,PJIANKBB_05476
nicD,nicD,N-formylmaleamate deformylase,AGBKPNDM_05594,OPLBPFOJ_05518,CBFJPJAN_05518,PFCICLLP_05556,IBOIIBEG_06222,MFFOPBKH_05416,POFILHDL_05403,DHNKKDKB_05401,PJIANKBB_05495
nicC,nicC,6-hydroxynicotinate 3-monooxygenase,AGBKPNDM_05595,OPLBPFOJ_05519,CBFJPJAN_05519,PFCICLLP_05557,IBOIIBEG_06223,MFFOPBKH_05417,POFILHDL_05404,DHNKKDKB_05400,PJIANKBB_05496
nicR,nicR,HTH-type transcriptional repressor NicR,AGBKPNDM_05597,OPLBPFOJ_05521,CBFJPJAN_05521,PFCICLLP_05559,IBOIIBEG_06225,MFFOPBKH_05419,POFILHDL_05406,DHNKKDKB_05398,PJIANKBB_05498
patB,patB,Cystathionine beta-lyase PatB,AGBKPNDM_05574,OPLBPFOJ_05498,CBFJPJAN_05498,PFCICLLP_05536,IBOIIBEG_06213,MFFOPBKH_05396,POFILHDL_05383,DHNKKDKB_05421,PJIANKBB_05475
nicA,nicA,Nicotinate dehydrogenase subunit A,AGBKPNDM_05598,OPLBPFOJ_05522,CBFJPJAN_05522,PFCICLLP_05560,IBOIIBEG_06226,MFFOPBKH_05420,POFILHDL_05407,DHNKKDKB_05397,PJIANKBB_05499
gabR_3,gabR_3,HTH-type transcriptional regulatory protein GabR,AGBKPNDM_05578,OPLBPFOJ_05502,CBFJPJAN_05502,PFCICLLP_05540,IBOIIBEG_06217,MFFOPBKH_05400,POFILHDL_05387,DHNKKDKB_05417,PJIANKBB_05479
group_3123,,hypothetical protein,AGBKPNDM_05576,OPLBPFOJ_05500,CBFJPJAN_05500,PFCICLLP_05538,IBOIIBEG_06215,MFFOPBKH_05398,POFILHDL_05385,DHNKKDKB_05419,PJIANKBB_05477
rihB,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,AGBKPNDM_05590,OPLBPFOJ_05514,CBFJPJAN_05514,PFCICLLP_05552,IBOIIBEG_06218,MFFOPBKH_05412,POFILHDL_05399,DHNKKDKB_05405,PJIANKBB_05491
nicT_4,nicT_4,Putative metabolite transport protein NicT,AGBKPNDM_05591,OPLBPFOJ_05515,CBFJPJAN_05515,PFCICLLP_05553,IBOIIBEG_06219,MFFOPBKH_05413,POFILHDL_05400,DHNKKDKB_05404,PJIANKBB_05492
group_3122,,hypothetical protein,AGBKPNDM_05577,OPLBPFOJ_05501,CBFJPJAN_05501,PFCICLLP_05539,IBOIIBEG_06216,MFFOPBKH_05399,POFILHDL_05386,DHNKKDKB_05418,PJIANKBB_05478
maiA,maiA,Maleate isomerase,AGBKPNDM_05593,OPLBPFOJ_05517,CBFJPJAN_05517,PFCICLLP_05555,IBOIIBEG_06221,MFFOPBKH_05415,POFILHDL_05402,DHNKKDKB_05402,PJIANKBB_05494
group_3121,,hypothetical protein,AGBKPNDM_05335,OPLBPFOJ_05237,CBFJPJAN_05240,PFCICLLP_05307,IBOIIBEG_05831,MFFOPBKH_05151,POFILHDL_05247,DHNKKDKB_04486,PJIANKBB_05284
group_3120,,hypothetical protein,AGBKPNDM_05350,OPLBPFOJ_05252,CBFJPJAN_05255,PFCICLLP_05322,IBOIIBEG_05846,MFFOPBKH_05136,POFILHDL_05262,DHNKKDKB_04471,PJIANKBB_05269
group_3119,,hypothetical protein,AGBKPNDM_05327,OPLBPFOJ_05229,CBFJPJAN_05232,PFCICLLP_05299,IBOIIBEG_05823,MFFOPBKH_05159,POFILHDL_05239,DHNKKDKB_04494,PJIANKBB_05292
group_3118,,hypothetical protein,AGBKPNDM_05309,OPLBPFOJ_05211,CBFJPJAN_05214,PFCICLLP_05281,IBOIIBEG_05804,MFFOPBKH_05178,POFILHDL_05220,DHNKKDKB_04513,PJIANKBB_05310
amiD_2,amiD_2,N-acetylmuramoyl-L-alanine amidase AmiD,AGBKPNDM_05328,OPLBPFOJ_05230,CBFJPJAN_05233,PFCICLLP_05300,IBOIIBEG_05824,MFFOPBKH_05158,POFILHDL_05240,DHNKKDKB_04493,PJIANKBB_05291
group_3117,,hypothetical protein,AGBKPNDM_05323,OPLBPFOJ_05225,CBFJPJAN_05228,PFCICLLP_05295,IBOIIBEG_05819,MFFOPBKH_05163,POFILHDL_05235,DHNKKDKB_04498,PJIANKBB_05296
metP_3,metP_3,Methionine import system permease protein MetP,AGBKPNDM_05311,OPLBPFOJ_05213,CBFJPJAN_05216,PFCICLLP_05283,IBOIIBEG_05806,MFFOPBKH_05176,POFILHDL_05222,DHNKKDKB_04511,PJIANKBB_05308
pntA,pntA,NAD(P) transhydrogenase subunit alpha,AGBKPNDM_05353,OPLBPFOJ_05255,CBFJPJAN_05258,PFCICLLP_05325,IBOIIBEG_05849,MFFOPBKH_05133,POFILHDL_05265,DHNKKDKB_04468,PJIANKBB_05266
zur,zur,Zinc uptake regulation protein,AGBKPNDM_05317,OPLBPFOJ_05219,CBFJPJAN_05222,PFCICLLP_05289,IBOIIBEG_05812,MFFOPBKH_05170,POFILHDL_05228,DHNKKDKB_04505,PJIANKBB_05302
group_3116,,hypothetical protein,AGBKPNDM_05348,OPLBPFOJ_05250,CBFJPJAN_05253,PFCICLLP_05320,IBOIIBEG_05844,MFFOPBKH_05138,POFILHDL_05260,DHNKKDKB_04473,PJIANKBB_05271
group_3115,,hypothetical protein,AGBKPNDM_05346,OPLBPFOJ_05248,CBFJPJAN_05251,PFCICLLP_05318,IBOIIBEG_05842,MFFOPBKH_05140,POFILHDL_05258,DHNKKDKB_04475,PJIANKBB_05273
group_3114,,hypothetical protein,AGBKPNDM_05331,OPLBPFOJ_05233,CBFJPJAN_05236,PFCICLLP_05303,IBOIIBEG_05827,MFFOPBKH_05155,POFILHDL_05243,DHNKKDKB_04490,PJIANKBB_05288
dsbA,dsbA,Thiol:disulfide interchange protein DsbA,AGBKPNDM_05325,OPLBPFOJ_05227,CBFJPJAN_05230,PFCICLLP_05297,IBOIIBEG_05821,MFFOPBKH_05161,POFILHDL_05237,DHNKKDKB_04496,PJIANKBB_05294
thrB,thrB,Homoserine kinase,AGBKPNDM_05319,OPLBPFOJ_05221,CBFJPJAN_05224,PFCICLLP_05291,IBOIIBEG_05815,MFFOPBKH_05167,POFILHDL_05231,DHNKKDKB_04502,PJIANKBB_05300
gltP_1,gltP_1,Proton/glutamate-aspartate symporter,AGBKPNDM_05334,OPLBPFOJ_05236,CBFJPJAN_05239,PFCICLLP_05306,IBOIIBEG_05830,MFFOPBKH_05152,POFILHDL_05246,DHNKKDKB_04487,PJIANKBB_05285
polA,polA,DNA polymerase I,AGBKPNDM_05321,OPLBPFOJ_05223,CBFJPJAN_05226,PFCICLLP_05293,IBOIIBEG_05817,MFFOPBKH_05165,POFILHDL_05233,DHNKKDKB_04500,PJIANKBB_05298
group_3113,,hypothetical protein,AGBKPNDM_05340,OPLBPFOJ_05242,CBFJPJAN_05245,PFCICLLP_05312,IBOIIBEG_05836,MFFOPBKH_05146,POFILHDL_05252,DHNKKDKB_04481,PJIANKBB_05279
group_3112,,hypothetical protein,AGBKPNDM_05336,OPLBPFOJ_05238,CBFJPJAN_05241,PFCICLLP_05308,IBOIIBEG_05832,MFFOPBKH_05150,POFILHDL_05248,DHNKKDKB_04485,PJIANKBB_05283
group_3111,,hypothetical protein,AGBKPNDM_05314,OPLBPFOJ_05216,CBFJPJAN_05219,PFCICLLP_05286,IBOIIBEG_05809,MFFOPBKH_05173,POFILHDL_05225,DHNKKDKB_04508,PJIANKBB_05305
mkl,mkl,putative ribonucleotide transport ATP-binding protein mkl,AGBKPNDM_05338,OPLBPFOJ_05240,CBFJPJAN_05243,PFCICLLP_05310,IBOIIBEG_05834,MFFOPBKH_05148,POFILHDL_05250,DHNKKDKB_04483,PJIANKBB_05281
metN_3,metN_3,Methionine import ATP-binding protein MetN,AGBKPNDM_05312,OPLBPFOJ_05214,CBFJPJAN_05217,PFCICLLP_05284,IBOIIBEG_05807,MFFOPBKH_05175,POFILHDL_05223,DHNKKDKB_04510,PJIANKBB_05307
group_3110,,hypothetical protein,AGBKPNDM_05320,OPLBPFOJ_05222,CBFJPJAN_05225,PFCICLLP_05292,IBOIIBEG_05816,MFFOPBKH_05166,POFILHDL_05232,DHNKKDKB_04501,PJIANKBB_05299
katE,katE,Catalase HPII,AGBKPNDM_05313,OPLBPFOJ_05215,CBFJPJAN_05218,PFCICLLP_05285,IBOIIBEG_05808,MFFOPBKH_05174,POFILHDL_05224,DHNKKDKB_04509,PJIANKBB_05306
pntAA,pntAA,NAD(P) transhydrogenase subunit alpha part 1,AGBKPNDM_05354,OPLBPFOJ_05256,CBFJPJAN_05259,PFCICLLP_05326,IBOIIBEG_05850,MFFOPBKH_05132,POFILHDL_05266,DHNKKDKB_04467,PJIANKBB_05265
group_3109,,hypothetical protein,AGBKPNDM_05341,OPLBPFOJ_05243,CBFJPJAN_05246,PFCICLLP_05313,IBOIIBEG_05837,MFFOPBKH_05145,POFILHDL_05253,DHNKKDKB_04480,PJIANKBB_05278
kinB,kinB,Alginate biosynthesis sensor protein KinB,AGBKPNDM_05329,OPLBPFOJ_05231,CBFJPJAN_05234,PFCICLLP_05301,IBOIIBEG_05825,MFFOPBKH_05157,POFILHDL_05241,DHNKKDKB_04492,PJIANKBB_05290
group_3108,,hypothetical protein,AGBKPNDM_05326,OPLBPFOJ_05228,CBFJPJAN_05231,PFCICLLP_05298,IBOIIBEG_05822,MFFOPBKH_05160,POFILHDL_05238,DHNKKDKB_04495,PJIANKBB_05293
group_3107,,hypothetical protein,AGBKPNDM_05345,OPLBPFOJ_05247,CBFJPJAN_05250,PFCICLLP_05317,IBOIIBEG_05841,MFFOPBKH_05141,POFILHDL_05257,DHNKKDKB_04476,PJIANKBB_05274
mmgC_6,mmgC_6,Acyl-CoA dehydrogenase,AGBKPNDM_05356,OPLBPFOJ_05258,CBFJPJAN_05261,PFCICLLP_05328,IBOIIBEG_05852,MFFOPBKH_05130,POFILHDL_05268,DHNKKDKB_04465,PJIANKBB_05263
group_3106,,hypothetical protein,AGBKPNDM_05349,OPLBPFOJ_05251,CBFJPJAN_05254,PFCICLLP_05321,IBOIIBEG_05845,MFFOPBKH_05137,POFILHDL_05261,DHNKKDKB_04472,PJIANKBB_05270
group_3105,,hypothetical protein,AGBKPNDM_05347,OPLBPFOJ_05249,CBFJPJAN_05252,PFCICLLP_05319,IBOIIBEG_05843,MFFOPBKH_05139,POFILHDL_05259,DHNKKDKB_04474,PJIANKBB_05272
group_3104,,hypothetical protein,AGBKPNDM_05339,OPLBPFOJ_05241,CBFJPJAN_05244,PFCICLLP_05311,IBOIIBEG_05835,MFFOPBKH_05147,POFILHDL_05251,DHNKKDKB_04482,PJIANKBB_05280
