Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3282,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
baiA~~~lvr_2~~~fabG_4,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2894,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2427,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_864,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
quiA_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3581,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3476,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3421,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3286,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3285,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3252,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2874,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2824,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2721,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2667,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2484,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2439,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2310,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2261,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2252,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2057,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2040,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_1894,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
ywnA,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_1853,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1769,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1719,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1654,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1644,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1598,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1450,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1327,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1277,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1191,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1127,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_973,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_815,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
gcvA_4,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_610,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_359,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_18,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3531,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3360,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3182,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2961,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_412,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3643,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3409,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3408,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3407,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3406,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3405,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3399,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3361,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3339,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
intA~~~intA_3,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3255,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3254,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3171,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3013,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2919,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2848,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2321,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1325,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_227,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4338,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4336,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4335,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4334,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4333,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3796,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3794,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3792,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3790,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3789,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3786,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3785,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3784,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3781,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3775,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3774,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3773,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3772,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
addA_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3766,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3765,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3764,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3763,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
recF_3,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3761,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3758,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
cusR_1,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3754,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3745,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3744,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3743,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3742,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
cheB_5,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
actP_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3741,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3738,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3736,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3735,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3731,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
nhaK_1,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3729,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3722,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3721,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3720,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
rcsC_30,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3718,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3716,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3715,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3714,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3713,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3712,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3711,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3708,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3707,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3706,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3593,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3124,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3119,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3063,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3041,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3034,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
dmlR_20,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2957,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2891,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2881,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2872,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2867,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2860,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2847,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2845,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2842,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2837,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2831,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2811,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2797,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2796,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2758,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2747,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2729,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2711,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2698,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2689,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2632,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2619,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2608,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2601,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2600,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2599,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2598,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2573,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2572,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2560,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2559,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2542,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2535,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2534,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2533,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2518,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2517,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2516,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2515,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2506,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2505,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2492,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2491,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2475,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2451,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2450,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2437,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2413,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2385,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2384,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2362,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2361,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
ybcO,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2354,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2345,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2339,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2338,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2329,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2328,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2317,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2316,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2298,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2291,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2290,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2289,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2284,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2275,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2274,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2265,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2245,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2231,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2230,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2218,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2217,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2216,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2195,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2194,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2160,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2159,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2158,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2157,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2143,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2131,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2130,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2129,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2125,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2124,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2109,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2108,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2097,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2088,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2075,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2061,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2051,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2039,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2007,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2002,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1993,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1992,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1982,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1961,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1950,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1939,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1938,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1919,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1906,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1905,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1895,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1884,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1866,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1847,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1841,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
slyA_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1816,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1798,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1797,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1765,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1764,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1743,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1742,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1731,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1722,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1701,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1688,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1682,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1663,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1648,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1647,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1639,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1638,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1632,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1621,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1613,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1601,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1581,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1555,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1523,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1513,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1508,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1501,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1490,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1463,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1462,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
