623B.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
631B.fasta_final-viral-boundary.tsv	NODE_8_length_288606_cov_23.380814	1	32	1	30395	0.9	0.947	1	32	1	30395	0.9	1.0	1	1	253	1	288605	0.447	0.0	40.9	0.0	31.8	13.6	13.6	4	dsDNAphage	linear	NODE_8_length_288606_cov_23.380814||0_partial	0.9	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_7_length_345121_cov_23.738778	161	174	214214	227922	0.887	0.887	161	174	214214	227922	0.887	0.96	1	1	288	455	345121	0.167	0.0	11.5	0.0	19.2	11.5	57.7	1	dsDNAphage	linear	NODE_7_length_345121_cov_23.738778||0_partial	0.887	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_4_length_426660_cov_23.493953	1	28	1	22602	0.907	0.947	1	28	1	22602	0.907	0.993	1	1	367	1	426358	0.273	0.0	17.5	2.5	20.0	15.0	45.0	4	dsDNAphage	linear	NODE_4_length_426660_cov_23.493953||0_partial	0.907	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_3_length_502287_cov_24.765124	125	205	124016	201793	0.907	0.933	125	205	124016	201793	0.907	1.0	1	1	481	580	502286	0.393	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_3_length_502287_cov_24.765124||0_partial	0.907	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_15_length_135536_cov_24.045874	45	97	46236	91911	0.88	0.88	45	97	46236	91911	0.88	0.973	1	1	134	144	135311	0.573	0.0	32.3	0.0	32.3	27.7	7.7	11	dsDNAphage	linear	NODE_15_length_135536_cov_24.045874||0_partial	0.88	dsDNAphage
632B.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
632B.fasta_final-viral-boundary.tsv	NODE_59_length_1251_cov_91.932709	1	2	2	1212	1.0	1.0	1	2	2	1212	NA	NA	0	1	2	2	1212	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_59_length_1251_cov_91.932709||full	1.0	ssDNA
632B.fasta_final-viral-boundary.tsv	NODE_3_length_559161_cov_17.363956	378	488	417399	500064	0.927	0.967	378	492	417399	508666	0.9	1.0	1	1	545	261	558835	0.433	0.0	20.5	0.0	32.3	11.8	35.4	16	dsDNAphage	linear	NODE_3_length_559161_cov_17.363956||0_partial	0.927	dsDNAphage
632B.fasta_final-viral-boundary.tsv	NODE_1_length_696009_cov_17.982470	52	113	58893	112676	0.887	0.933	52	113	58893	112676	0.887	0.98	1	1	660	439	695615	0.307	0.0	31.1	0.0	27.0	18.9	23.0	8	dsDNAphage	linear	NODE_1_length_696009_cov_17.982470||0_partial	0.887	dsDNAphage
632B.fasta_final-viral-boundary.tsv	NODE_11_length_141879_cov_17.448886	42	82	40946	76041	0.893	0.913	41	82	39911	76041	0.867	0.96	1	1	142	145	141878	0.507	0.0	25.9	0.0	33.3	33.3	7.4	11	dsDNAphage	linear	NODE_11_length_141879_cov_17.448886||0_partial	0.893	dsDNAphage
633A.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
633A.fasta_final-viral-boundary.tsv	NODE_61_length_1251_cov_110.251278	1	2	2	1212	1.0	1.0	1	2	2	1212	NA	NA	0	1	2	2	1212	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_61_length_1251_cov_110.251278||full	1.0	ssDNA
633A.fasta_final-viral-boundary.tsv	NODE_3_length_522668_cov_20.515797	31	181	33875	153136	0.907	0.927	31	181	33875	153136	0.907	0.993	1	1	506	37	522408	0.473	0.0	20.2	0.0	28.2	13.5	38.0	17	dsDNAphage	linear	NODE_3_length_522668_cov_20.515797||0_partial	0.907	dsDNAphage
633A.fasta_final-viral-boundary.tsv	NODE_20_length_105378_cov_19.471116	65	102	69636	102146	0.887	0.907	65	102	69636	102146	0.887	0.94	1	1	106	2	105139	0.587	0.0	23.8	0.0	40.5	26.2	9.5	11	dsDNAphage	linear	NODE_20_length_105378_cov_19.471116||0_partial	0.887	dsDNAphage
633A.fasta_final-viral-boundary.tsv	NODE_13_length_148291_cov_19.867833	48	101	49025	99445	0.913	0.947	48	101	49025	99445	0.913	0.98	1	1	147	292	148115	0.547	0.0	31.8	0.0	36.4	10.6	21.2	8	dsDNAphage	linear	NODE_13_length_148291_cov_19.867833||0_partial	0.913	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
638A1.fasta_final-viral-boundary.tsv	NODE_68_length_1871_cov_33.463211	1	3	27	1871	0.9	0.9	1	3	27	1871	NA	NA	0	1	3	27	1871	0.9	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NODE_68_length_1871_cov_33.463211||full	0.9	ssDNA
638A1.fasta_final-viral-boundary.tsv	NODE_50_length_28167_cov_16.472695	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_50_length_28167_cov_16.472695||full	0.987	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	NODE_48_length_30915_cov_15.818017	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_48_length_30915_cov_15.818017||full	0.993	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	NODE_34_length_71091_cov_17.688484	1	96	35	71018	0.94	0.94	1	96	35	71018	NA	NA	0	1	96	35	71018	0.94	0.0	16.7	0.0	42.7	14.6	26.0	12	dsDNAphage	linear	NODE_34_length_71091_cov_17.688484||full	0.94	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	NODE_22_length_94856_cov_16.493917	4	96	3942	94602	0.873	0.913	1	97	97	94854	NA	NA	0	1	97	97	94854	0.827	0.0	29.9	0.0	33.0	13.4	23.7	6	dsDNAphage	linear	NODE_22_length_94856_cov_16.493917||full	0.873	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	NODE_3_length_428420_cov_16.431348	341	370	404660	428419	0.933	0.96	341	370	404660	428419	0.933	0.94	1	1	370	116	428419	0.273	0.0	10.0	0.0	30.0	6.7	53.3	5	dsDNAphage	linear	NODE_3_length_428420_cov_16.431348||0_partial	0.933	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	NODE_25_length_89731_cov_16.221842	1	48	102	40221	0.88	0.913	1	48	102	40221	0.88	0.967	1	1	91	102	89506	0.673	0.0	30.0	0.0	30.0	31.7	8.3	11	dsDNAphage	linear	NODE_25_length_89731_cov_16.221842||0_partial	0.88	dsDNAphage
638A1.fasta_final-viral-boundary.tsv	NODE_17_length_143685_cov_16.294329	1	32	1	30395	0.9	0.947	1	32	1	30395	0.9	1.0	1	1	130	1	143583	0.5	0.0	40.9	0.0	31.8	13.6	13.6	4	dsDNAphage	linear	NODE_17_length_143685_cov_16.294329||0_partial	0.9	dsDNAphage
642A.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
642A.fasta_final-viral-boundary.tsv	NODE_50_length_1251_cov_132.871380	1	2	2	1212	1.0	1.0	1	2	2	1212	NA	NA	0	1	2	2	1212	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_50_length_1251_cov_132.871380||full	1.0	ssDNA
642A.fasta_final-viral-boundary.tsv	NODE_3_length_551459_cov_24.274842	60	210	62504	181765	0.907	0.927	60	210	62504	181765	0.907	0.993	1	1	535	134	551199	0.42	0.0	20.2	0.0	28.2	13.5	38.0	17	dsDNAphage	linear	NODE_3_length_551459_cov_24.274842||0_partial	0.907	dsDNAphage
642A.fasta_final-viral-boundary.tsv	NODE_1_length_695960_cov_24.453775	52	113	58899	112682	0.887	0.933	52	113	58899	112682	0.887	0.98	1	1	661	439	695566	0.307	0.0	31.1	0.0	27.0	18.9	23.0	8	dsDNAphage	linear	NODE_1_length_695960_cov_24.453775||0_partial	0.887	dsDNAphage
642A.fasta_final-viral-boundary.tsv	NODE_13_length_142080_cov_23.732259	42	82	41147	76242	0.893	0.913	41	82	40112	76242	0.867	0.96	1	1	142	145	142079	0.507	0.0	25.9	0.0	33.3	33.3	7.4	11	dsDNAphage	linear	NODE_13_length_142080_cov_23.732259||0_partial	0.893	dsDNAphage
643E.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
643E.fasta_final-viral-boundary.tsv	NODE_59_length_1266_cov_120.386880	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_59_length_1266_cov_120.386880||full	1.0	ssDNA
643E.fasta_final-viral-boundary.tsv	NODE_55_length_1817_cov_52.929885	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_55_length_1817_cov_52.929885||full	0.953	ssDNA
643E.fasta_final-viral-boundary.tsv	NODE_54_length_1871_cov_48.197882	1	3	27	1871	0.9	0.9	1	3	27	1871	NA	NA	0	1	3	27	1871	0.9	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NODE_54_length_1871_cov_48.197882||full	0.9	ssDNA
643E.fasta_final-viral-boundary.tsv	NODE_53_length_2483_cov_42.377805	1	4	3	2483	0.96	0.96	1	4	3	2483	NA	NA	0	1	4	3	2483	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_53_length_2483_cov_42.377805||full	0.96	dsDNAphage
643E.fasta_final-viral-boundary.tsv	NODE_42_length_28167_cov_25.544785	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_42_length_28167_cov_25.544785||full	0.987	dsDNAphage
643E.fasta_final-viral-boundary.tsv	NODE_37_length_30915_cov_24.199948	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_37_length_30915_cov_24.199948||full	0.993	dsDNAphage
643E.fasta_final-viral-boundary.tsv	NODE_26_length_69351_cov_25.555706	1	92	35	69349	0.913	0.927	1	92	35	69349	NA	NA	0	1	92	35	69349	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_26_length_69351_cov_25.555706||full	0.913	dsDNAphage
643E.fasta_final-viral-boundary.tsv	NODE_6_length_337179_cov_25.190334	125	205	124016	201713	0.907	0.933	125	205	124016	201713	0.907	1.0	1	1	333	580	337179	0.447	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_6_length_337179_cov_25.190334||0_partial	0.907	dsDNAphage
