unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings	genome
13	PF_Cali	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K00874 K01625 (K00134 K00927,K00131,K18978)	0.8	True	K00131,K00134,K00134,K00134,K00874,K00874,K00927,K01625	4891,383,1358,1830,5109,5566,384,1702	None	628C
14	PF_Cali	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K18126 K11395 (K00131,K18978)	0.25	False	K00131	4891	None	628C
15	PF_Cali	M00014	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854	0.333333333333333	False	K00012,K00012,K00854,K00854,K00854,K03331	3110,3885,5659,3331,4071,3332	-- steps are assumed incomplete	628C
16	PF_Cali	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)	0.4	False	K00874,K00874,K01625	5109,5566,1702	None	628C
17	PF_Cali	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)	0.4	False	K00874,K00874,K01625	5109,5566,1702	None	628C
18	PF_Cali	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01785 K00849 K00965 K01784	0.5	False	K01784,K01785,K01785	2253,3375,3607	None	628C
19	PF_Cali	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01684 K00883 K01631 K00134 K00927	1	True	K00134,K00134,K00134,K00883,K00927,K01631,K01684,K01684	383,1358,1830,567,384,568,569,5722	None	628C
20	PF_Cali	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00963 K00012 K00699 K01195 K00002 K01053 K00103	0.285714285714286	False	K00012,K00012,K00963	3110,3885,3830	None	628C
21	PF_Cali	M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)	0.666666666666667	False	K00700,K00703,K00963	5684,3747,3830	None	628C
22	PF_Cali	M00855	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)	0.75	True	K00688,K00705,K01835,K15778	2121,3745,4006,99	None	628C
23	PF_Cali	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00975 K00703 (K00700,K16149) K01214 K06044 K01236	0.833333333333333	True	K00700,K00703,K01214,K01236,K06044	5684,3747,3742,3746,3744	None	628C
24	PF_Cali	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00844,K00845,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)	1	True	K00845,K00963,K01835,K15778	1828,3830,4006,99	None	628C
25	PF_Cali	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00844,K12407,K00845) K01810 K00820 K00621 K01836 K00972	0.5	False	K00820,K00820,K00845,K01810	1892,5869,1828,2795	None	628C
26	PF_Cali	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00845 (K01810,K13810,K15916) K00820 K03431 K04042	1	True	K00820,K00820,K00845,K01810,K03431,K04042	1892,5869,1828,2795,2780,5871	None	628C
27	PF_Cali	M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K10011 K07806 K10012 K13014	1	True	K07806,K10011,K10012,K13014	215,3890,3891,3889	None	628C
28	PF_Cali	M00012	Glyoxylate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)	0.8	True	K01637,K01638,K01647,K01681,K01682,K01682	4843,460,1578,1333,4515,4767	None	628C
29	PF_Cali	M00373	Ethylmalonyl pathway	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847	0.25	False	K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K05606,K17865	4687,5277,1016,1346,5571,638,2418,3877,3589,1092,1698	None	628C
30	PF_Cali	M00740	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024	0.272727272727273	False	K00031,K00031,K01647,K01681	4834,4835,1578,1333	None	628C
31	PF_Cali	M00532	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437	0.3	False	K00281,K00382,K00382,K00600,K00600,K00605,K00605,K02437,K02437,K03781,K03781,K03781,K03781	1755,1585,3361,434,2731,213,1757,214,1754,2562,2723,3425,2060	None	628C
32	PF_Cali	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K00248,K00232) (K07511,K14729) K05605 K23146 K00140	0.4	False	K00140,K00140,K00140,K00140,K00248,K00248	4524,2440,2047,3627,3878,3880	None	628C
33	PF_Cali	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	(K01965+K01966,K11263+(K18472,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)	0.333333333333333	False	K05606	1092	None	628C
34	PF_Cali	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01106 K01107 K01109 K01092	0.25	False	K01092	1938	None	628C
35	PF_Cali	M00165	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)	0.727272727272727	False	K00134,K00134,K00134,K00615,K00615,K00927,K01624,K01807,K01808,K03841	383,1358,1830,382,5079,384,387,267,5097,2124	None	628C
36	PF_Cali	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules	Energy metabolism	Carbon fixation	K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)	0.5	False	K00134,K00134,K00134,K00927	383,1358,1830,384	None	628C
37	PF_Cali	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)	0.857142857142857	True	K00615,K00615,K01624,K01807,K01808,K03841	382,5079,387,267,5097,2124	None	628C
38	PF_Cali	M00168	CAM (Crassulacean acid metabolism), dark	Pathway modules	Energy metabolism	Carbon fixation	K01595 (K00025,K00026,K00024)	0.5	False	K01595,K01595	2878,5048	None	628C
39	PF_Cali	M00169	CAM (Crassulacean acid metabolism), light	Pathway modules	Energy metabolism	Carbon fixation	K00029 K01006	0.5	False	K00029	2176	None	628C
40	PF_Cali	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K00051 K00029 K01006	0.5	False	K00029,K01595,K01595	2176,2878,5048	None	628C
41	PF_Cali	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K14454 K14455 (K00025,K00026) K00028 (K00814,K14272) K01006	0.142857142857143	False	K01595,K01595	2878,5048	None	628C
42	PF_Cali	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules	Energy metabolism	Carbon fixation	K01595 K14454 K14455 K01610	0.5	False	K01595,K01595,K01610	2878,5048,5498	None	628C
43	PF_Cali	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)	0.636363636363636	False	K00031,K00031,K00239,K00240,K00241,K00242,K01007,K01595,K01595,K01676,K01679,K01679,K01681,K01682,K01682,K01902,K01903,K01959,K01960	4834,4835,1581,1582,1579,1580,694,2878,5048,1817,4261,1019,1333,4515,4767,1587,1586,9,10	None	628C
44	PF_Cali	M00376	3-Hydroxypropionate bi-cycle	Pathway modules	Energy metabolism	Carbon fixation	(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709	0.307692307692308	False	K00239,K00240,K00241,K01679,K01679,K01961,K01962,K01963,K02160,K05606	1581,1582,1579,4261,1019,2380,5192,4385,2381,1092	None	628C
45	PF_Cali	M00375	Hydroxypropionate-hydroxybutylate cycle	Pathway modules	Energy metabolism	Carbon fixation	(K01964+K15037+K15036) K15017 K15039 K15018 K15019 K15020 K05606 (K01848+K01849) (K15038,K15017) K14465 (K14466,K18861) K14534 K15016 K00626	0.142857142857143	False	K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K05606	4687,5277,1016,1346,5571,638,2418,3877,3589,1092	None	628C
46	PF_Cali	M00374	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626	0.384615384615385	False	K00239,K00240,K00241,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K01007,K01595,K01595,K01902,K01903	1581,1582,1579,4687,5277,1016,1346,5571,638,2418,3877,3589,694,2878,5048,1587,1586	None	628C
47	PF_Cali	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	K00198 K05299-K15022 K01938 K01491 K00297 K15023 K14138+K00197+K00194	0.285714285714286	False	K00297,K01491	368,3396	None	628C
48	PF_Cali	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	(K00625,K13788,K15024) K00925	0.5	False	K13788	5321	None	628C
49	PF_Cali	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules	Energy metabolism	Carbon fixation	(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)	0.285714285714286	False	K01902,K01903,K01959,K01960	1587,1586,9,10	None	628C
50	PF_Cali	M00357	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))	0.2	False	K01895,K01895	4334,2794	None	628C
51	PF_Cali	M00346	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691	0.555555555555556	False	K00018,K00600,K00600,K01595,K01595,K01689,K11529	4304,434,2731,2878,5048,5196,1557	None	628C
52	PF_Cali	M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	(((K08093,K13812) K08094),K13831) (K00850,K16370) K01624	0.333333333333333	False	K01624	387	None	628C
53	PF_Cali	M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	K17100 K00863 K01624 K03841	0.5	False	K01624,K03841	387,2124	None	628C
54	PF_Cali	M00935	Methanofuran biosynthesis	Pathway modules	Energy metabolism	Methane metabolism	K09733 K19793 K07144 K18933 K06914 K07072	0.166666666666667	False	K19793	2805	None	628C
55	PF_Cali	M00531	Assimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00367,K10534,K00372-K00360) (K00366,K17877)	0.5	False	K00372	703	None	628C
56	PF_Cali	M00530	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	(K00370+K00371+K00374,K02567+K02568) (K00362+K00363,K03385+K15876)	0.5	False	K00362,K00363	705,704	None	628C
57	PF_Cali	M00176	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules	Energy metabolism	Sulfur metabolism	(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)	1	True	K00380,K00381,K00390,K00955,K00955,K00956,K00956,K00957,K00957	4196,4943,670,5323,781,5323,781,5325,782	None	628C
58	PF_Cali	M00144	NADH:quinone oxidoreductase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343	1	True	K00330,K00331,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K13378	4844,4845,4847,4848,4849,4850,4851,4852,4853,4854,4855,4856,4846	None	628C
59	PF_Cali	M00149	Succinate dehydrogenase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K00241+(K00242,K18859,K18860)+K00239+K00240	1	True	K00239,K00240,K00241,K00242	1581,1582,1579,1580	None	628C
60	PF_Cali	M00151	Cytochrome bc1 complex respiratory unit	Pathway modules	Energy metabolism	ATP synthesis	((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889	1	True	K00411,K00412,K00413	4232,4233,4234	None	628C
61	PF_Cali	M00152	Cytochrome bc1 complex	Pathway modules	Energy metabolism	ATP synthesis	K00411+K00412+K00413+K00414+K00415+K00416+K00417+K00418+K00419+K00420	0.3	False	K00411,K00412,K00413	4232,4233,4234	None	628C
62	PF_Cali	M00154	Cytochrome c oxidase	Pathway modules	Energy metabolism	ATP synthesis	(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+K02270-K02271+K02272-K02273+K02258+K02259+K02260)	0.2	False	K02257,K02257,K02258,K02259	603,1975,597,602	None	628C
63	PF_Cali	M00155	Cytochrome c oxidase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	K02275+(K02274+K02276,K15408)-K02277	1	True	K02274,K02275,K02276	596,595,598	None	628C
64	PF_Cali	M00153	Cytochrome bd ubiquinol oxidase	Pathway modules	Energy metabolism	ATP synthesis	K00425+K00426+(K00424,K22501)	0.666666666666667	False	K00425,K00426	2716,2717	None	628C
65	PF_Cali	M00417	Cytochrome o ubiquinol oxidase	Pathway modules	Energy metabolism	ATP synthesis	K02297+K02298+K02299+K02300	1	True	K02297,K02298,K02299,K02300	1979,1978,1977,1976	None	628C
66	PF_Cali	M00156	Cytochrome c oxidase, cbb3-type	Pathway modules	Energy metabolism	ATP synthesis	((K00404+K00405,K15862)+K00407+K00406)	1	True	K00404,K00404,K00405,K00405,K00406,K00406,K00407,K00407	756,760,759,755,753,757,754,758	None	628C
67	PF_Cali	M00157	F-type ATPase, prokaryotes and chloroplasts	Pathway modules	Energy metabolism	ATP synthesis	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110	1	True	K02108,K02109,K02110,K02111,K02112,K02113,K02114,K02115	5879,5877,5878,5875,5873,5876,5872,5874	None	628C
68	PF_Cali	M00082	Fatty acid biosynthesis, initiation	Pathway modules	Lipid metabolism	Fatty acid metabolism	(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))	1	True	K00645,K00648,K01961,K01962,K01963,K02160	3669,881,2380,5192,4385,2381	None	628C
69	PF_Cali	M00083	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))	1	True	K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00209,K00647,K00647,K01716,K02372,K02372,K09458	4739,666,3281,2192,3670,2417,5573,5674,1405,1645,2194,1644,5187,2204,3672	None	628C
70	PF_Cali	M00873	Fatty acid biosynthesis in mitochondria, animals	Pathway modules	Lipid metabolism	Fatty acid metabolism	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512	0.25	False	K00645,K09458	3669,3672	None	628C
71	PF_Cali	M00874	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules	Lipid metabolism	Fatty acid metabolism	K11262 K03955+K00645 K09458 K00059 K22541 K07512	0.416666666666667	False	K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00059,K00645,K09458	4739,666,3281,2192,3670,2417,5573,5674,3669,3672	None	628C
72	PF_Cali	M00086	beta-Oxidation, acyl-CoA synthesis	Pathway modules	Lipid metabolism	Fatty acid metabolism	K01897,K15013	1	True	K01897,K01897,K01897,K01897	5570,1695,1696,1637	None	628C
73	PF_Cali	M00087	beta-Oxidation	Pathway modules	Lipid metabolism	Fatty acid metabolism	(K00232,K00249,K00255,K06445,K09479) (((K01692,K07511,K13767) (K00022,K07516)),K01825,K01782,K07514,K07515,K10527) (K00632,K07508,K07509,K07513)	1	True	K00249,K00249,K00249,K00249,K00249,K00249,K00249,K00249,K00632,K00632,K01692,K01692,K01692,K01692,K01692,K01692,K01782,K01825,K06445,K06445	4641,4934,4228,743,938,3433,3878,3880,5277,1346,4642,1502,3879,3881,5699,1247,639,1345,5574,1610	None	628C
74	PF_Cali	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	Pathway modules	Lipid metabolism	Sterol biosynthesis	K00489 K12408 K07431 K00251 K00037 K00488 K08748 K01796 K10214 K12405 K08764 K11992	0.0833333333333333	False	K01796	4815	None	628C
75	PF_Cali	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Pathway modules	Lipid metabolism	Lipid metabolism	K00626 K01641 K01640 K00019 K01574	0.6	False	K00019,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K01640,K01640	5113,4687,5277,1016,1346,5571,638,2418,3877,3589,4937,1215	None	628C
76	PF_Cali	M00089	Triacylglycerol biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	(K00629,K13506,K13507,K00630,K13508) (K00655,K13509,K13523,K19007,K13513,K13517,K13519,K14674,K22831) (K01080,K15728,K18693) (K11155,K11160,K14456,K22848,K22849)	0.25	False	K00655,K00655,K00655,K00655,K00655,K00655	1192,545,642,1602,2208,5860	None	628C
77	PF_Cali	M00098	Acylglycerol degradation	Pathway modules	Lipid metabolism	Lipid metabolism	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) K01054	1	True	K01046,K01054,K01054	2334,1697,5857	None	628C
78	PF_Cali	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules	Lipid metabolism	Lipid metabolism	K00981 (K00998,K17103) K01613	1	True	K00981,K00981,K00998,K01613,K17103	5181,5861,3976,2275,2820	None	628C
79	PF_Cali	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules	Nucleotide metabolism	Purine metabolism	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))	1	True	K00602,K00764,K01588,K01589,K01756,K01923,K01933,K01945,K01952,K08289,K11175	2375,4389,28,29,4839,1273,833,2374,1899,1883,832	None	628C
80	PF_Cali	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules	Nucleotide metabolism	Purine metabolism	K01939 K01756 (K00939,K18532,K18533,K00944) (K00940,K00873,K12406)	1	True	K00873,K00873,K00939,K00940,K01756,K01939,K01939	1556,1814,2877,1927,4839,4498,2294	None	628C
81	PF_Cali	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules	Nucleotide metabolism	Purine metabolism	K00088 K01951 K00942 (K00940,K18533,K00873,K12406)	1	True	K00088,K00873,K00873,K00940,K00942,K01951	1910,1556,1814,1927,92,1909	None	628C
